Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
1.58E-10,15,18
1.59E-10,8,16
1.60E-10,9,12
1.61E-10,9,11
1.61E-10,13,18
1.62E-10,12,11
1.63E-10,11,11
1.64E-10,15,18
1.65E-10,11,13
1.65E-10,12,10
1.66E-10,14,14
1.67E-10,13,22
1.68E-10,10,14
1.69E-10,15,11
1.70E-10,16,15
1.70E-10,12,19
1.71E-10,11,10
1.72E-10,11,21
1.73E-10,9,19
1.74E-10,9,16
1.74E-10,6,16
1.75E-10,5,15
1.76E-10,7,15
1.77E-10,14,19
1.78E-10,15,11
1.78E-10,15,16
1.79E-10,7,13
1.80E-10,7,14
1.81E-10,10,12
1.82E-10,12,15
1.83E-10,12,19
1.83E-10,18,16
1.84E-10,13,18
1.85E-10,8,14
1.86E-10,16,21
1.87E-10,9,12
1.87E-10,11,13
1.88E-10,19,14
1.89E-10,10,14
1.90E-10,10,17
1.91E-10,17,12
1.91E-10,9,18
1.92E-10,7,16
1.93E-10,9,10
1.94E-10,7,19
1.95E-10,11,10
1.96E-10,15,8
1.96E-10,14,19
1.97E-10,11,15
1.98E-10,12,17
1.99E-10,10,10
2.00E-10,20,15
2.00E-10,8,24
2.01E-10,16,10
2.02E-10,12,22
2.03E-10,15,16
2.04E-10,10,24
2.05E-10,10,18
2.05E-10,7,19
2.06E-10,11,15
2.07E-10,13,16
2.08E-10,16,19
2.09E-10,7,14
2.09E-10,19,17
2.10E-10,12,18
2.11E-10,9,17
2.12E-10,9,17
2.13E-10,8,16
2.13E-10,7,6
2.14E-10,9,12
2.15E-10,18,12
2.16E-10,8,10
2.17E-10,16,19
2.18E-10,13,22
2.18E-10,16,16
2.19E-10,12,18
2.20E-10,15,20
2.21E-10,11,21
2.22E-10,13,16
2.22E-10,10,16
2.23E-10,9,13
2.24E-10,15,18
2.25E-10,9,11
2.26E-10,14,12
2.27E-10,10,25
2.27E-10,10,15
2.28E-10,9,11
2.29E-10,7,10
2.30E-10,11,14
2.31E-10,10,16
2.31E-10,10,16
2.32E-10,12,10
2.33E-10,12,17
2.34E-10,12,10
2.35E-10,15,10
2.35E-10,12,18
2.36E-10,9,12
2.37E-10,9,16
2.38E-10,11,11
2.39E-10,14,17
2.40E-10,16,15
2.40E-10,20,12
2.41E-10,13,18
2.42E-10,6,17
2.43E-10,11,9
2.44E-10,14,10
2.44E-10,12,23
2.45E-10,15,11
2.46E-10,13,13
2.47E-10,11,15
2.48E-10,9,17
2.48E-10,15,21
2.49E-10,9,16
2.50E-10,12,13
2.51E-10,18,15
2.52E-10,11,16
2.53E-10,16,14
2.53E-10,15,13
2.54E-10,16,13
2.55E-10,15,17
2.56E-10,14,11
2.57E-10,15,14
2.57E-10,9,14
2.58E-10,10,12
2.59E-10,11,19
2.60E-10,11,15
2.61E-10,13,17
2.62E-10,11,13
2.62E-10,10,14
2.63E-10,14,25
2.64E-10,11,16
2.65E-10,15,11
2.66E-10,18,24
2.66E-10,16,8
2.67E-10,12,17
2.68E-10,6,14
2.69E-10,13,15
2.70E-10,15,15
2.70E-10,11,14
2.71E-10,13,22
2.72E-10,23,21
2.73E-10,16,20
2.74E-10,14,9
2.75E-10,5,11
2.75E-10,14,19
2.76E-10,6,25
2.77E-10,9,19
2.78E-10,11,18
2.79E-10,11,15
2.79E-10,11,12
2.80E-10,12,13
2.81E-10,12,13
2.82E-10,13,15
2.83E-10,7,19
2.84E-10,13,19
2.84E-10,13,21
2.85E-10,10,14
2.86E-10,10,18
2.87E-10,8,15
2.88E-10,8,18
2.88E-10,9,16
2.89E-10,10,22
2.90E-10,11,16
2.91E-10,16,23
2.92E-10,10,15
2.92E-10,11,12
2.93E-10,15,8
2.94E-10,14,20
2.95E-10,11,19
2.96E-10,13,14
2.97E-10,15,15
2.97E-10,8,18
2.98E-10,14,14
2.99E-10,10,17
3.00E-10,13,18
3.01E-10,20,15
3.01E-10,15,14
3.02E-10,10,12
3.03E-10,13,20
3.04E-10,9,19
3.05E-10,12,14
3.05E-10,9,14
3.06E-10,9,14
3.07E-10,16,27
3.08E-10,11,24
3.09E-10,11,13
3.10E-10,11,23
3.10E-10,11,19
3.11E-10,15,22
3.12E-10,12,18
3.13E-10,11,21
3.14E-10,6,24
3.14E-10,11,16
3.15E-10,16,22
3.16E-10,13,16
3.17E-10,17,17
3.18E-10,17,15
3.19E-10,9,22
3.19E-10,8,20
3.20E-10,12,27
3.21E-10,7,22
3.22E-10,12,35
3.23E-10,9,33
3.23E-10,15,25
3.24E-10,10,25
3.25E-10,11,35
3.26E-10,9,35
3.27E-10,10,23
3.27E-10,8,36
3.28E-10,6,28
3.29E-10,7,39
3.30E-10,9,32
3.31E-10,9,44
3.32E-10,14,37
3.32E-10,11,35
3.33E-10,14,33
3.34E-10,23,27
3.35E-10,11,50
3.36E-10,17,50
3.36E-10,18,50
3.37E-10,11,52
3.38E-10,17,39
3.39E-10,10,52
3.40E-10,20,63
3.41E-10,23,57
3.41E-10,12,51
3.42E-10,20,58
3.43E-10,17,62
3.44E-10,19,72
3.45E-10,13,69
3.45E-10,14,57
3.46E-10,11,56
3.47E-10,18,55
3.48E-10,15,61
3.49E-10,18,56
3.49E-10,13,50
3.50E-10,12,58
3.51E-10,29,58
3.52E-10,20,53
3.53E-10,15,57
3.54E-10,22,59
3.54E-10,26,62
3.55E-10,18,64
3.56E-10,25,54
3.57E-10,22,56
3.58E-10,26,54
3.58E-10,36,61
3.59E-10,29,56
3.60E-10,21,55
3.61E-10,33,47
3.62E-10,28,49
3.62E-10,38,47
3.63E-10,45,48
3.64E-10,37,54
3.65E-10,44,51
3.66E-10,41,35
3.67E-10,42,47
3.67E-10,43,44
3.68E-10,41,33
3.69E-10,51,54
3.70E-10,33,31
3.71E-10,38,34
3.71E-10,51,36
